"figure","label","v9_panel_id","v9_renderer","v9_renderer_home","v9_source","v2_panel","v2_source","same_evidence","status"
"Figure 2","a","v9_schematic","f9_schematic","final_truth_v9 (current)","none declared; authored schematic","2a","none - deferred_to_illustrator","NO - v2 2a does not exist as an asset","v9 CURRENT; no baked-in counts found"
"Figure 2","b","v9_depth","f9_depth_compact","final_truth_v9 (current)","results/source_data/manuscript/figure_02/figure_02b_source_data.csv (V2 EXPORT NAMESPACE)","2b","data/raw/pg_matrix/quicksearch.stats.annotated.xlsx","YES - same depth evidence","v9 depends on v2 output"
"Figure 2","c","v9_pca","nf_pca_compact","nature_final_v7 (SUPERSEDED file; PH-001 accepted)","results/source_data/manuscript/figure_02/figure_02c_source_data.csv (V2 EXPORT NAMESPACE)","2c","results/tables/03_qc_exploration/00b_joint_compartment_qc/global/joint_primary_pca_scores.csv","YES - same joint PCA","v9 depends on v2 output"
"Figure 2","d","v9_fingerprint","f9_fingerprint","final_truth_v9 (current)","results/tables/manuscript_candidates/spatial_v6/figure2_spatial_fingerprint_proteins.csv","none","-","NO - v2 has no fingerprint panel","only generation of this analysis that has ever existed"
"Figure 2","e","v9_compartment","f9_compartment","final_truth_v9 (current)","figure2d_compact_recognizable_markers_v2_source_data.csv","2d","figure2d_compact_marker_enrichment_differences_v2_source_data.csv","PARTLY - same 04e workflow, different derived view","both current"
"Figure 2","f","v9_bilateral_main","nf_bilateral_main","nature_final_v7 (SUPERSEDED file; PH-001 accepted)","reads bilateral_spatial_identity_summary.csv via input_dependencies[1]","none","-","NO - v2 Figure 2 HAS NO BILATERAL PANEL","v9 only; declared primary_source is not the file read"
"Figure 2","g","v9_external_main","f9_external_main","final_truth_v9 (current)","figure2e_source_data.csv","2e","figure2e_source_data.csv","YES - identical source table","both current"
"Figure 2","h","v9_internal_main","f9_internal_main","final_truth_v9 (current)","figure2f_regions_CA1layers_source_data.csv","2f","figure2f_regions_CA1layers_source_data.csv","YES - identical source table","both current"
"Figure 3","a","v9_dap_track","f9_dap_track","final_truth_v9 (current)","results/tables/11_spatial_systems/atlas/protein_spatial_cell_affinity.csv","3a","panel_a_sus_res_dap_counts.csv","NO - v9 is post-QC two-row; v2 is pre-QC counts only","v9 science correct; v9 GEOMETRY BROKEN; v2 science superseded"
"Figure 3","b","v9_atlas","f9_gsea_atlas","final_truth_v9 (current)","ontology_aware_gsea_theme_assignments_all_contrasts.csv","3b","wgcna_circular_heatmap_source_supermodule.csv","NO - different analyses entirely","v9 = 7-program GSEA atlas; v2 = WGCNA supermodule atlas"
"Figure 3","c","v9_bridge","f9_anatomy_bridge","final_truth_v9 (current)","ontology_aware_gsea_theme_assignments_all_contrasts.csv","3c","WGCNA_supermodule_GO_focused_source_BP.csv","NO","v9 only"
"Figure 3","d","v9_curve_syn","f9_gsea_curve","final_truth_v9 (current)","theme table; GO:0099536 neuron_neuropil CA3_sr","none","-","NO - v2 has no GSEA exemplar curves","v9 only"
"Figure 3","e","v9_curve_rna","f9_gsea_curve","final_truth_v9 (current)","theme table; GO:0006397 neuron_soma CA2_sp","none","-","NO","v9 only"
"Figure 3","f","v9_curve_ox","f9_gsea_curve","final_truth_v9 (current)","theme table; GO:0006119 microglia CA1","none","-","NO","v9 only"
"Figure 3","g","v9_prot_syn","f9_protein_zoom","final_truth_v9 (current)","canonical per-file DA under data/processed/02_id_mapping (NOT the declared primary_source)","3d","figure3b_stage07_effect_source.csv","NO","v9 leading-edge; v2 WGCNA effects"
"Figure 3","h","v9_prot_rna","f9_protein_zoom","final_truth_v9 (current)","canonical per-file DA (NOT the declared primary_source)","3e","figure3d_protein_level_display_source.csv","NO","v9 leading-edge; v2 WGCNA_m12 heatmap"
"Figure 3","i","v9_prot_ox","f9_protein_zoom","final_truth_v9 (current)","canonical per-file DA (NOT the declared primary_source)","none","-","NO","v9 only"
