"source_file","citation","kind","publication_id","panel_letter","declared_in_contract","publication_status","exported_artifact_exists","resolved"
"manuscript_draft.md","Extended Data Fig. 1a","extended_data","extended_data_01","a",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Extended Data Fig. 1b","extended_data","extended_data_01","b",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Extended Data Fig. 2b","extended_data","extended_data_02","b",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Extended Data Fig. 3","extended_data","extended_data_03",,TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Extended Data Fig. 5a","extended_data","extended_data_05","a",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Extended Data Fig. 5b","extended_data","extended_data_05","b",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Extended Data Fig. 6a,b","extended_data","extended_data_06","a",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Extended Data Fig. 6a,b","extended_data","extended_data_06","b",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Extended Data Fig. 8","extended_data","extended_data_08",,TRUE,"CANONICAL",TRUE,TRUE
"abstract_provenance.csv","Extended Data Fig. 9a","extended_data","extended_data_09","a",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Extended Data Fig. 9a","extended_data","extended_data_09","a",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Extended Data Fig. 9b","extended_data","extended_data_09","b",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Extended Data Fig. 9c","extended_data","extended_data_09","c",TRUE,"CANONICAL",TRUE,TRUE
"figure1_authoritative_source_inventory.csv","Fig. 1a","main_figure","figure_01","a",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 1a","main_figure","figure_01","a",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 1b","main_figure","figure_01","b",TRUE,"CANONICAL",TRUE,TRUE
"extended_data_09_legend.md","Fig. 1c","main_figure","figure_01","c",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 1c","main_figure","figure_01","c",TRUE,"CANONICAL",TRUE,TRUE
"extended_data_09_legend.md","Fig. 1d","main_figure","figure_01","d",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 1d","main_figure","figure_01","d",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 2a,b","main_figure","figure_02","a",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 2a,b","main_figure","figure_02","b",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 2c","main_figure","figure_02","c",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 2d","main_figure","figure_02","d",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 2e","main_figure","figure_02","e",TRUE,"CANONICAL",TRUE,TRUE
"abstract_provenance.csv","Fig. 2f","main_figure","figure_02","f",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 2f","main_figure","figure_02","f",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 2g","main_figure","figure_02","g",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 2h","main_figure","figure_02","h",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 3a","main_figure","figure_03","a",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 3b","main_figure","figure_03","b",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 3g–i","main_figure","figure_03","g",TRUE,"CANONICAL",TRUE,TRUE
"results_red_team_review.csv","Fig. 3g-i","main_figure","figure_03","g",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 3g–i","main_figure","figure_03","h",TRUE,"CANONICAL",TRUE,TRUE
"results_red_team_review.csv","Fig. 3g-i","main_figure","figure_03","h",TRUE,"CANONICAL",TRUE,TRUE
"manuscript_draft.md","Fig. 3g–i","main_figure","figure_03","i",TRUE,"CANONICAL",TRUE,TRUE
"results_red_team_review.csv","Fig. 3g-i","main_figure","figure_03","i",TRUE,"CANONICAL",TRUE,TRUE
