"panel","plotted_column","expected_spatial_unit","expected_value_canonical","expected_value_claimable","plotted_x_before_pt","landed_on_column_before","plotted_spatial_unit_before","offset_before_pt","plotted_x_after_pt","landed_on_column_after","plotted_spatial_unit_after","offset_after_pt","status","status_before"
"F3a (v9_dap_track)",1,"CA1 SO",1,1,158.3,2,"CA1 SR",8.46,158.3,1,"CA1 SO",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",2,"CA1 SR",0,0,177.02,3,"CA1 SLM",7.28,177.02,2,"CA1 SR",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",3,"CA1 SLM",0,0,195.74,4,"CA2 SO",6.1,195.74,3,"CA1 SLM",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",4,"CA2 SO",0,0,214.46,5,"CA2 SR",4.92,214.46,4,"CA2 SO",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",5,"CA2 SR",0,0,233.18,6,"CA2 SLM",3.74,233.18,5,"CA2 SR",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",6,"CA2 SLM",28,6,251.9,7,"CA3 SO",2.56,251.9,6,"CA2 SLM",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",7,"CA3 SO",0,0,270.62,8,"CA3 SR",1.38,270.62,7,"CA3 SO",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",8,"CA3 SR",0,0,289.34,9,"DG MO",0.2,289.34,8,"CA3 SR",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",9,"DG MO",0,0,308.06,10,"DG PO",0.98,308.06,9,"DG MO",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",10,"DG PO",2,2,326.78,11,"CA1",2.16,326.78,10,"DG PO",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",11,"CA1",0,0,345.5,12,"CA2",3.34,345.5,11,"CA1",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",12,"CA2",2,2,364.22,13,"CA3",4.52,364.22,12,"CA2",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",13,"CA3",1,1,382.94,14,"DG",5.7,382.94,13,"CA3",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",14,"DG",0,0,401.66,15,"CA1",6.88,401.66,14,"DG",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",15,"CA1",0,0,420.38,16,"CA2",8.06,420.38,15,"CA1",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",16,"CA2",3,3,439.1,18,"DG",8.3,439.1,16,"CA2",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",17,"CA3",0,0,457.82,18,"DG",10.42,457.82,17,"CA3",0,"ALIGNED","MISREGISTERED"
"F3a (v9_dap_track)",18,"DG",0,0,476.54,18,"DG",29.14,476.54,18,"DG",0,"ALIGNED","MISREGISTERED"
