"element","value","source"
"canonical manuscript term","CombZ (composite outcome score)","data/external/behavior/E9_Behavior_Data.xlsx sheet zScore"
"component measures","NOR, sucrose_pref, weight_dev, delta_cort, adrenal_weight, spleen_weight","same workbook, column names"
"sign orientation","[UNRESOLVED]","NOT IN REPOSITORY - precomputed upstream"
"z-scoring population","[UNRESOLVED]","NOT IN REPOSITORY - precomputed upstream"
"aggregation formula","[UNRESOLVED]","NOT IN REPOSITORY - precomputed upstream"
"treatment of sex","[UNRESOLVED]","NOT IN REPOSITORY - precomputed upstream"
"treatment of batch","[UNRESOLVED]","NOT IN REPOSITORY - precomputed upstream"
"RES/SUS boundary","[UNRESOLVED]","NOT IN REPOSITORY - precomputed upstream"
"do controls enter score construction","[UNRESOLVED]","NOT IN REPOSITORY - precomputed upstream"
"leave-one-out score construction","[UNRESOLVED]","NOT IN REPOSITORY - precomputed upstream"
