"statement_id","manuscript_section","draft_sentence","quantity","value","unit","source_file","source_column","source_key","figure_panel","claim_type","verified"
"S2-01","Results 2 (Figure 2)","323 spatial acquisitions from nine animals","acquisitions","323","acquisitions","results/source_data/manuscript_candidates/final_truth_v9/figure_02/v9_depth_source_data.csv","row count","all rows","F2b","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-02","Results 2 (Figure 2)","180 neuropil, 71 neuronal soma and 72 microglia-enriched ROI","acquisitions per compartment","180 / 71 / 72","acquisitions","results/source_data/manuscript_candidates/final_truth_v9/figure_02/v9_depth_source_data.csv","dataset","table(dataset)","F2b","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-03","Results 2 (Figure 2)","median of 4,668, 5,307 and 4,850 protein groups per acquisition","median identification depth","4668 / 5307 / 4850.5","protein groups","results/source_data/manuscript_candidates/final_truth_v9/figure_02/v9_depth_source_data.csv","proteins_identified","median by dataset","F2b","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-04","Results 2 (Figure 2)","matrices comprised 5,054, 5,538 and 5,229 protein groups","analysis-matrix size","5054 / 5538 / 5229","protein groups","data/processed/01_preprocessing","matrix dim","per compartment after 70% missingness filter","F2b","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-06","Results 2 (Figure 2)","4,242 protein groups quantified across all three compartments","joint matrix size","4242","protein groups","results/source_data/manuscript_candidates/final_truth_v9/figure_02/v9_pca_source_data.csv","feature space","joint three-compartment matrix","F2c","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-07","Results 2 (Figure 2)","first two components captured 45.1% and 9.8% of the variance","variance explained","0.4509 / 0.0978","fraction","results/source_data/manuscript_candidates/final_truth_v9/figure_02/v9_pca_source_data.csv","PC1/PC2 variance","joint PCA","F2c","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-08","Results 2 (Figure 2)","compartment accounted for essentially all variance along PC1","compartment eta-squared on PC1","0.9559","eta^2","results/tables/manuscript_candidates/final_truth_v9/audit","eta_sq","term = compartment, PC1; acquisition-level","F2c","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-09","Results 2 (Figure 2)","whereas experimental group accounted for effectively none","stress-group eta-squared on PC1","8.53e-05","eta^2","results/tables/manuscript_candidates/final_truth_v9/audit","eta_sq","term = experimental group, PC1; acquisition-level","F2c","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-10","Results 2 (Figure 2)","19 protein rows resolved the 18 spatial units","fingerprint rows / units / cells","19 rows; 18 units; 378 cells","count","results/source_data/manuscript_candidates/final_truth_v9/figure_02/v9_fingerprint_source_data.csv","gene / spatial_unit","all rows","F2d","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-11","Results 2 (Figure 2)","eleven prespecified control-only anatomical contrasts","prespecified CON-only contrasts","11","contrasts","results/source_data/manuscript_candidates/final_truth_v9/figure_02/v9_fingerprint_source_data.csv","contrast","complete prespecified set","F2d","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-12","Results 2 (Figure 2)","ten prespecified compartment markers","marker proteins","10 (4 soma, 3 neuropil, 3 microglia/PVM)","proteins","results/source_data/manuscript_candidates/final_truth_v9/figure_02/v9_compartment_source_data.csv","gene","all rows","F2e","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-13","Results 2 (Figure 2)","eleven prespecified contrasts; four microglia regional-context","bilateral contrast inventory","15 rows: 11 manuscript_locked, 4 not","contrasts","results/tables/11_spatial_systems/bilateral/bilateral_spatial_identity_summary.csv","manuscript_locked","TRUE = 11 (7 neuropil + 4 soma); FALSE = 4 microglia","F2f","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-14","Results 2 (Figure 2)","neuronal-soma regional contrasts (median 0.80, range 0.72-0.92)","soma bilateral concordance","median 0.8021; range 0.7185-0.9182","Pearson r","results/tables/11_spatial_systems/bilateral/bilateral_spatial_identity_summary.csv","pearson_r","dataset == neuron_soma (n = 4)","F2f","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-15","Results 2 (Figure 2)","intermediate and widest in the neuropil (median 0.74, range 0.38-0.85)","neuropil bilateral concordance","median 0.7383; range 0.3811-0.8531","Pearson r","results/tables/11_spatial_systems/bilateral/bilateral_spatial_identity_summary.csv","pearson_r","dataset == neuron_neuropil (n = 7)","F2f","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-16","Results 2 (Figure 2)","lowest for the microglia-enriched ROI (median 0.56, range 0.50-0.76)","microglia bilateral concordance","median 0.5587; range 0.4951-0.7570","Pearson r","results/tables/11_spatial_systems/bilateral/bilateral_spatial_identity_summary.csv","pearson_r","dataset == microglia (n = 4)","F2f","LIMITATION","VERIFIED_FROM_SOURCE"
"S2-17","Results 2 (Figure 2)","two lowest values were CA1 stratum oriens (0.38) and radiatum (0.49); CA1-SLM (0.74) at the median","CA1 laminar concordance","SO 0.3811; SR 0.4868; SLM 0.7383","Pearson r","results/tables/11_spatial_systems/bilateral/bilateral_spatial_identity_summary.csv","pearson_r","CA1 SO / SR / SLM vs mean other CA1 strata","F2f","LIMITATION","VERIFIED_FROM_SOURCE"
"S2-17b","Results 2 (Figure 2)","dentate-gyrus layer contrasts reproduced as well as the better regional contrasts (r = 0.81)","DG laminar concordance","0.8145 (both DG rows identical to 7 dp)","Pearson r","results/tables/11_spatial_systems/bilateral/bilateral_spatial_identity_summary.csv","pearson_r","DG_MO and DG_PO vs mean other DG layers; DG neuropil has two layers so these are mirror images","F2f","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-18","Results 2 (Figure 2)","raised the intraclass correlation from 0.33 to 0.50 / 0.32 to 0.48","ICC single hemisphere -> bilateral mean","compartment 0.3309->0.4972; markers 0.32->0.48","ICC","results/source_data/manuscript_candidates/final_truth_v9/extended_data/v9_ed_precision_source_data.csv","ICC_single_side / ICC_bilateral_mean","class median; 84 of 113 endpoints","ED1b","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S2-19","Results 2 (Figure 2)","nine control-only contrasts (five neuropil, four neuronal soma) against seven signatures","external validation design","9 contrasts x 7 signatures = 30 pairings; 0 microglia contrasts","count","results/source_data/04_differential_expression_enrichment/control_spatial_identity_validation/global/figure2e_source_data.csv","signature_FDR (BH within the signature family); NES; expected_match","all rows","F2g/ED2b","EXTERNAL_VALIDATION","VERIFIED_FROM_SOURCE"
"S2-20","Results 2 (Figure 2)","all ten expected pairings recovered in the expected direction and passed","expected pairings supported","10 of 10","pairings","results/source_data/04_differential_expression_enrichment/control_spatial_identity_validation/global/figure2e_source_data.csv","signature_FDR (BH within the signature family); NES; expected_match","pairing_class == expected","F2g/ED2b","EXTERNAL_VALIDATION","VERIFIED_FROM_SOURCE"
