"analysis_id","dataset","run_id","ontology","result_type","contrast","comparison","route_category","route_unit","condition","direction","simplified","plot_suffix","used_for_plot","input_gene_file","input_hash","config_file","config_hash","output_table","output_plot","n_genes","n_terms","empty_result","checkpoint_status","created_at"
"clusterProfiler::NA::GSEA_GO::BP::CA1slmres_CA1slmcon",NA,"20260526_150117","BP","GSEA_GO","CA1slmres_CA1slmcon","CA1slmres_CA1slmcon","phenotype_within_unit","CA1_slm",NA,NA,FALSE,"_full",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1slmres_CA1slmcon.csv","04ca47c614c0eb0a7c61384135b7b8a8","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/BP/phenotype_within_unit/CA1_slm/CA1slmres_CA1slmcon_full.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_slm/CA1slmres_CA1slmcon/GO_BP/GSEA_BP_dotplot_full.svg",5017,3690,FALSE,"computed","2026-05-26 15:13:50 +0200"
"clusterProfiler::NA::GSEA_KEGG::KEGG::CA1slmres_CA1slmcon",NA,"20260526_150117","KEGG","GSEA_KEGG","CA1slmres_CA1slmcon","CA1slmres_CA1slmcon","phenotype_within_unit","CA1_slm",NA,NA,FALSE,"_KEGG",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1slmres_CA1slmcon.csv","04ca47c614c0eb0a7c61384135b7b8a8","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/KEGG/phenotype_within_unit/CA1_slm/CA1slmres_CA1slmcon_KEGG.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_slm/CA1slmres_CA1slmcon/KEGG/KEGG_dotplot.svg",4951,293,FALSE,"computed","2026-05-26 15:17:07 +0200"
"clusterProfiler::NA::GSEA_GO::BP::CA1slmsus_CA1slmcon",NA,"20260526_150117","BP","GSEA_GO","CA1slmsus_CA1slmcon","CA1slmsus_CA1slmcon","phenotype_within_unit","CA1_slm",NA,NA,FALSE,"_full",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1slmsus_CA1slmcon.csv","bb74cfdbbc7028ebaa5976ce2b7cb601","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/BP/phenotype_within_unit/CA1_slm/CA1slmsus_CA1slmcon_full.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_slm/CA1slmsus_CA1slmcon/GO_BP/GSEA_BP_dotplot_full.svg",5017,3690,FALSE,"computed","2026-05-26 15:20:58 +0200"
"clusterProfiler::NA::GSEA_KEGG::KEGG::CA1slmsus_CA1slmcon",NA,"20260526_150117","KEGG","GSEA_KEGG","CA1slmsus_CA1slmcon","CA1slmsus_CA1slmcon","phenotype_within_unit","CA1_slm",NA,NA,FALSE,"_KEGG",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1slmsus_CA1slmcon.csv","bb74cfdbbc7028ebaa5976ce2b7cb601","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/KEGG/phenotype_within_unit/CA1_slm/CA1slmsus_CA1slmcon_KEGG.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_slm/CA1slmsus_CA1slmcon/KEGG/KEGG_dotplot.svg",4951,293,FALSE,"computed","2026-05-26 15:21:54 +0200"
"clusterProfiler::NA::GSEA_GO::BP::CA1slmsus_CA1slmres",NA,"20260526_150117","BP","GSEA_GO","CA1slmsus_CA1slmres","CA1slmsus_CA1slmres","phenotype_within_unit","CA1_slm",NA,NA,FALSE,"_full",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1slmsus_CA1slmres.csv","2210336e86fed320d556d1e33d8d73d9","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/BP/phenotype_within_unit/CA1_slm/CA1slmsus_CA1slmres_full.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_slm/CA1slmsus_CA1slmres/GO_BP/GSEA_BP_dotplot_full.svg",5017,3690,FALSE,"computed","2026-05-26 15:23:25 +0200"
"clusterProfiler::NA::GSEA_KEGG::KEGG::CA1slmsus_CA1slmres",NA,"20260526_150117","KEGG","GSEA_KEGG","CA1slmsus_CA1slmres","CA1slmsus_CA1slmres","phenotype_within_unit","CA1_slm",NA,NA,FALSE,"_KEGG",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1slmsus_CA1slmres.csv","2210336e86fed320d556d1e33d8d73d9","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/KEGG/phenotype_within_unit/CA1_slm/CA1slmsus_CA1slmres_KEGG.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_slm/CA1slmsus_CA1slmres/KEGG/KEGG_dotplot.svg",4951,293,FALSE,"computed","2026-05-26 15:24:39 +0200"
"clusterProfiler::NA::GSEA_GO::BP::CA1sores_CA1socon",NA,"20260526_150117","BP","GSEA_GO","CA1sores_CA1socon","CA1sores_CA1socon","phenotype_within_unit","CA1_so",NA,NA,FALSE,"_full",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1sores_CA1socon.csv","648f3ff41a63a0426c31ab7e1e22f018","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/BP/phenotype_within_unit/CA1_so/CA1sores_CA1socon_full.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_so/CA1sores_CA1socon/GO_BP/GSEA_BP_dotplot_full.svg",5017,3690,FALSE,"computed","2026-05-26 15:22:54 +0200"
"clusterProfiler::NA::GSEA_KEGG::KEGG::CA1sores_CA1socon",NA,"20260526_150117","KEGG","GSEA_KEGG","CA1sores_CA1socon","CA1sores_CA1socon","phenotype_within_unit","CA1_so",NA,NA,FALSE,"_KEGG",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1sores_CA1socon.csv","648f3ff41a63a0426c31ab7e1e22f018","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/KEGG/phenotype_within_unit/CA1_so/CA1sores_CA1socon_KEGG.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_so/CA1sores_CA1socon/KEGG/KEGG_dotplot.svg",4951,293,FALSE,"computed","2026-05-26 15:23:45 +0200"
"clusterProfiler::NA::GSEA_GO::BP::CA1sosus_CA1socon",NA,"20260526_150117","BP","GSEA_GO","CA1sosus_CA1socon","CA1sosus_CA1socon","phenotype_within_unit","CA1_so",NA,NA,FALSE,"_full",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1sosus_CA1socon.csv","e102eac4ffc274b92044cf6c91d181ef","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/BP/phenotype_within_unit/CA1_so/CA1sosus_CA1socon_full.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_so/CA1sosus_CA1socon/GO_BP/GSEA_BP_dotplot_full.svg",5017,3690,FALSE,"computed","2026-05-26 15:23:26 +0200"
"clusterProfiler::NA::GSEA_KEGG::KEGG::CA1sosus_CA1socon",NA,"20260526_150117","KEGG","GSEA_KEGG","CA1sosus_CA1socon","CA1sosus_CA1socon","phenotype_within_unit","CA1_so",NA,NA,FALSE,"_KEGG",TRUE,"S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/data/processed/02_id_mapping/mapped/neuron_neuropil/forward/per_file/CA1sosus_CA1socon.csv","e102eac4ffc274b92044cf6c91d181ef","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/config/clusterProfiler_config.yml","03a6a8ecf1b0b097134ba46aef0c360a","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/source_data/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/KEGG/phenotype_within_unit/CA1_so/CA1sosus_CA1socon_KEGG.csv","S:/Lab_Member/Tobi/Experiments/Exp9_Social-Stress/Analysis/proteomics/results/figures/04_differential_expression_enrichment/clusterProfiler/neuron_neuropil/phenotype_within_unit/CA1_so/CA1sosus_CA1socon/KEGG/KEGG_dotplot.svg",4951,293,FALSE,"computed","2026-05-26 15:24:55 +0200"
