"comparison","status","runtime_seconds","n_input_rows","n_non_na_log2fc","n_unique_gene_ids","n_top_genes","n_background_universe","n_id_mapped_uniprot_to_entrez","n_gsea_terms","n_ora_terms","n_kegg_terms"
"CA1slmres_CA1slmcon","ERROR",0.297820091247559,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA1slmsus_CA1slmcon","ERROR",0.309446096420288,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA1slmsus_CA1slmres","ERROR",0.22893214225769,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA1sores_CA1socon","ERROR",0.228412866592407,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA1sosus_CA1socon","ERROR",0.22858190536499,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA1sosus_CA1sores","ERROR",0.207041025161743,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA1srres_CA1srcon","ERROR",0.252999067306519,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA1srsus_CA1srcon","ERROR",0.21918797492981,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA1srsus_CA1srres","ERROR",0.186206102371216,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA2slmres_CA2slmcon","ERROR",0.247927904129028,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA2slmsus_CA2slmcon","ERROR",0.206526041030884,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA2slmsus_CA2slmres","ERROR",0.208356142044067,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA2sores_CA2socon","ERROR",0.163501024246216,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA2sosus_CA2socon","ERROR",0.171561002731323,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA2sosus_CA2sores","ERROR",0.175986051559448,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA2srres_CA2srcon","ERROR",0.161877870559692,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA2srsus_CA2srcon","ERROR",0.203381061553955,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA2srsus_CA2srres","ERROR",0.165478944778442,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA3sores_CA3socon","ERROR",0.173794984817505,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA3sosus_CA3socon","ERROR",0.164042949676514,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA3sosus_CA3sores","ERROR",0.155893087387085,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA3srres_CA3srcon","ERROR",0.155835866928101,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA3srsus_CA3srcon","ERROR",0.517032861709595,NA,NA,NA,NA,0,NA,NA,NA,NA
"CA3srsus_CA3srres","ERROR",0.451723098754883,NA,NA,NA,NA,0,NA,NA,NA,NA
"DGmores_DGmocon","ERROR",0.514111995697021,NA,NA,NA,NA,0,NA,NA,NA,NA
"DGmosus_DGmocon","ERROR",0.441457986831665,NA,NA,NA,NA,0,NA,NA,NA,NA
"DGmosus_DGmores","ERROR",0.462814092636108,NA,NA,NA,NA,0,NA,NA,NA,NA
"DGpores_DGpocon","ERROR",0.507852077484131,NA,NA,NA,NA,0,NA,NA,NA,NA
"DGposus_DGpocon","ERROR",0.441839933395386,NA,NA,NA,NA,0,NA,NA,NA,NA
"DGposus_DGpores","ERROR",0.453354120254517,NA,NA,NA,NA,0,NA,NA,NA,NA
