"comparison","left_token","right_token","left_unit","right_unit","left_phenotype","right_phenotype","route_category","route_unit","expected_warning","dataset"
"CA1slmres_CA1slmcon","CA1slmres","CA1slmcon","CA1_slm","CA1_slm","res","con","phenotype_within_unit","CA1_slm","","neuron_neuropil"
"CA1slmsus_CA1slmcon","CA1slmsus","CA1slmcon","CA1_slm","CA1_slm","sus","con","phenotype_within_unit","CA1_slm","","neuron_neuropil"
"CA1slmsus_CA1slmres","CA1slmsus","CA1slmres","CA1_slm","CA1_slm","sus","res","phenotype_within_unit","CA1_slm","","neuron_neuropil"
"CA1sores_CA1socon","CA1sores","CA1socon","CA1_so","CA1_so","res","con","phenotype_within_unit","CA1_so","","neuron_neuropil"
"CA1sosus_CA1socon","CA1sosus","CA1socon","CA1_so","CA1_so","sus","con","phenotype_within_unit","CA1_so","","neuron_neuropil"
"CA1sosus_CA1sores","CA1sosus","CA1sores","CA1_so","CA1_so","sus","res","phenotype_within_unit","CA1_so","","neuron_neuropil"
"CA1srres_CA1srcon","CA1srres","CA1srcon","CA1_sr","CA1_sr","res","con","phenotype_within_unit","CA1_sr","","neuron_neuropil"
"CA1srsus_CA1srcon","CA1srsus","CA1srcon","CA1_sr","CA1_sr","sus","con","phenotype_within_unit","CA1_sr","","neuron_neuropil"
"CA1srsus_CA1srres","CA1srsus","CA1srres","CA1_sr","CA1_sr","sus","res","phenotype_within_unit","CA1_sr","","neuron_neuropil"
"CA2slmres_CA2slmcon","CA2slmres","CA2slmcon","CA2_slm","CA2_slm","res","con","phenotype_within_unit","CA2_slm","","neuron_neuropil"
"CA2slmsus_CA2slmcon","CA2slmsus","CA2slmcon","CA2_slm","CA2_slm","sus","con","phenotype_within_unit","CA2_slm","","neuron_neuropil"
"CA2slmsus_CA2slmres","CA2slmsus","CA2slmres","CA2_slm","CA2_slm","sus","res","phenotype_within_unit","CA2_slm","","neuron_neuropil"
"CA2sores_CA2socon","CA2sores","CA2socon","CA2_so","CA2_so","res","con","phenotype_within_unit","CA2_so","","neuron_neuropil"
"CA2sosus_CA2socon","CA2sosus","CA2socon","CA2_so","CA2_so","sus","con","phenotype_within_unit","CA2_so","","neuron_neuropil"
"CA2sosus_CA2sores","CA2sosus","CA2sores","CA2_so","CA2_so","sus","res","phenotype_within_unit","CA2_so","","neuron_neuropil"
"CA2srres_CA2srcon","CA2srres","CA2srcon","CA2_sr","CA2_sr","res","con","phenotype_within_unit","CA2_sr","","neuron_neuropil"
"CA2srsus_CA2srcon","CA2srsus","CA2srcon","CA2_sr","CA2_sr","sus","con","phenotype_within_unit","CA2_sr","","neuron_neuropil"
"CA2srsus_CA2srres","CA2srsus","CA2srres","CA2_sr","CA2_sr","sus","res","phenotype_within_unit","CA2_sr","","neuron_neuropil"
"CA3sores_CA3socon","CA3sores","CA3socon","CA3_so","CA3_so","res","con","phenotype_within_unit","CA3_so","","neuron_neuropil"
"CA3sosus_CA3socon","CA3sosus","CA3socon","CA3_so","CA3_so","sus","con","phenotype_within_unit","CA3_so","","neuron_neuropil"
"CA3sosus_CA3sores","CA3sosus","CA3sores","CA3_so","CA3_so","sus","res","phenotype_within_unit","CA3_so","","neuron_neuropil"
"CA3srres_CA3srcon","CA3srres","CA3srcon","CA3_sr","CA3_sr","res","con","phenotype_within_unit","CA3_sr","","neuron_neuropil"
"CA3srsus_CA3srcon","CA3srsus","CA3srcon","CA3_sr","CA3_sr","sus","con","phenotype_within_unit","CA3_sr","","neuron_neuropil"
"CA3srsus_CA3srres","CA3srsus","CA3srres","CA3_sr","CA3_sr","sus","res","phenotype_within_unit","CA3_sr","","neuron_neuropil"
"DGmores_DGmocon","DGmores","DGmocon","DG_mo","DG_mo","res","con","phenotype_within_unit","DG_mo","","neuron_neuropil"
"DGmosus_DGmocon","DGmosus","DGmocon","DG_mo","DG_mo","sus","con","phenotype_within_unit","DG_mo","","neuron_neuropil"
"DGmosus_DGmores","DGmosus","DGmores","DG_mo","DG_mo","sus","res","phenotype_within_unit","DG_mo","","neuron_neuropil"
"DGpores_DGpocon","DGpores","DGpocon","DG_po","DG_po","res","con","phenotype_within_unit","DG_po","","neuron_neuropil"
"DGposus_DGpocon","DGposus","DGpocon","DG_po","DG_po","sus","con","phenotype_within_unit","DG_po","","neuron_neuropil"
"DGposus_DGpores","DGposus","DGpores","DG_po","DG_po","sus","res","phenotype_within_unit","DG_po","","neuron_neuropil"
